alias,run_dir,prepared_dir,dataset,task_name,target_column,model_name,selected_baseline,model_family,seed,primary_metric,primary_score,secondary_metric,secondary_score,accuracy,f1,macro_f1,minority_f1,precision,recall,threshold,risk_note,resolved_device,overfit_gap
run-20260329-090158-band-bagged-logistic-regression,/root/autodl-tmp/electronic-diagnoise/artifacts/runs/run-20260329-090158-band-bagged-logistic-regression,/root/autodl-tmp/electronic-diagnoise/artifacts/prepared_cognitive_radio_thesis_benchmark,cognitive_radio_spectrum,band,Frequency_Band,bagged_logistic_regression,bagged_logistic_regression,ml,42,accuracy,1.0,f1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,no_major_overfit_signal_detected,cuda,0.0
run-20260329-090206-band-bagged-logistic-regression,/root/autodl-tmp/electronic-diagnoise/artifacts/runs/run-20260329-090206-band-bagged-logistic-regression,/root/autodl-tmp/electronic-diagnoise/artifacts/prepared_cognitive_radio_thesis_benchmark,cognitive_radio_spectrum,band,Frequency_Band,bagged_logistic_regression,bagged_logistic_regression,ml,52,accuracy,1.0,f1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,no_major_overfit_signal_detected,cuda,0.0
run-20260329-090302-band-random-forest,/root/autodl-tmp/electronic-diagnoise/artifacts/runs/run-20260329-090302-band-random-forest,/root/autodl-tmp/electronic-diagnoise/artifacts/prepared_cognitive_radio_thesis_benchmark,cognitive_radio_spectrum,band,Frequency_Band,random_forest,random_forest,ml,42,accuracy,1.0,f1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,no_major_overfit_signal_detected,cuda,0.00666666666666671
run-20260329-090434-band-cnn-1d,/root/autodl-tmp/electronic-diagnoise/artifacts/runs/run-20260329-090434-band-cnn-1d,/root/autodl-tmp/electronic-diagnoise/artifacts/prepared_cognitive_radio_thesis_benchmark,cognitive_radio_spectrum,band,Frequency_Band,cnn_1d,cnn_1d,dl,42,accuracy,1.0,f1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,train_val_gap_stable=-0.000,cuda,-0.0028571428571428914
run-20260329-090513-band-cnn-1d,/root/autodl-tmp/electronic-diagnoise/artifacts/runs/run-20260329-090513-band-cnn-1d,/root/autodl-tmp/electronic-diagnoise/artifacts/prepared_cognitive_radio_thesis_benchmark,cognitive_radio_spectrum,band,Frequency_Band,cnn_1d,cnn_1d,dl,52,accuracy,1.0,f1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,train_val_gap_stable=-0.009,cuda,0.0
run-20260329-090758-band-transformer-1d,/root/autodl-tmp/electronic-diagnoise/artifacts/runs/run-20260329-090758-band-transformer-1d,/root/autodl-tmp/electronic-diagnoise/artifacts/prepared_cognitive_radio_thesis_benchmark,cognitive_radio_spectrum,band,Frequency_Band,transformer_1d,transformer_1d,dl,42,accuracy,1.0,f1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,train_val_gap_stable=0.000,cuda,0.0
run-20260329-090907-band-transformer-1d,/root/autodl-tmp/electronic-diagnoise/artifacts/runs/run-20260329-090907-band-transformer-1d,/root/autodl-tmp/electronic-diagnoise/artifacts/prepared_cognitive_radio_thesis_benchmark,cognitive_radio_spectrum,band,Frequency_Band,transformer_1d,transformer_1d,dl,52,accuracy,1.0,f1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,train_val_gap_stable=-0.006,cuda,0.0
run-20260329-091010-band-cognitive-radio-scalar-hybrid,/root/autodl-tmp/electronic-diagnoise/artifacts/runs/run-20260329-091010-band-cognitive-radio-scalar-hybrid,/root/autodl-tmp/electronic-diagnoise/artifacts/prepared_cognitive_radio_thesis_benchmark,cognitive_radio_spectrum,band,Frequency_Band,cognitive_radio_scalar_hybrid,cognitive_radio_scalar_hybrid,dl,42,accuracy,1.0,f1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,train_val_gap_stable=0.000,cuda,0.0
run-20260329-091112-band-cognitive-radio-scalar-hybrid,/root/autodl-tmp/electronic-diagnoise/artifacts/runs/run-20260329-091112-band-cognitive-radio-scalar-hybrid,/root/autodl-tmp/electronic-diagnoise/artifacts/prepared_cognitive_radio_thesis_benchmark,cognitive_radio_spectrum,band,Frequency_Band,cognitive_radio_scalar_hybrid,cognitive_radio_scalar_hybrid,dl,52,accuracy,1.0,f1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,train_val_gap_stable=0.000,cuda,0.0
run-20260329-090353-band-random-forest,/root/autodl-tmp/electronic-diagnoise/artifacts/runs/run-20260329-090353-band-random-forest,/root/autodl-tmp/electronic-diagnoise/artifacts/prepared_cognitive_radio_thesis_benchmark,cognitive_radio_spectrum,band,Frequency_Band,random_forest,random_forest,ml,52,accuracy,0.9866666666666667,f1,0.9867659100213801,0.9866666666666667,0.9867659100213801,0.9867659100213801,0.9846153846153847,0.9878654970760234,0.9858452950558214,,no_major_overfit_signal_detected,cuda,0.020000000000000018
